Country,Action Area,2010,2011,2012,2013,2014,2015,2016
Switzerland,"Leadership, awareness and commitment","Introduction of “KAP plus” conferences: In addition to the annual national conference on alcohol policy “KAP”, regional conferences on more specific topics (e.g. Youth, Alcohol and public space, or Early intervention) for the further education of cantonal civil servants/experts working on alcohol policy issues are introduced (2-3/year)",NA,NA,Start of project “Success factors of cantonal alcohol policy”: Tool to assess and develop cantonal alcohol policy measures (completed in  2015),Adoption of revised Food Stuff Act (including provisions on wine and beer) by Parliament. Entry into force: approx. 2017),(December) Parliament abandons revision of Alcohol Act after 4 years of deliberations.,(6/Apr) Federal Council adopts National Strategy on Noncommunicable Diseases 2017–2024
Switzerland,"Leadership, awareness and commitment","Introduction of “KAP plus” conferences: In addition to the annual national conference on alcohol policy “KAP”, regional conferences on more specific topics (e.g. Youth, Alcohol and public space, or Early intervention) for the further education of cantonal civil servants/experts working on alcohol policy issues are introduced (2-3/year)",NA,NA,Start of project “Success factors of cantonal alcohol policy”: Tool to assess and develop cantonal alcohol policy measures (completed in  2015),Adoption of revised Food Stuff Act (including provisions on wine and beer) by Parliament. Entry into force: approx. 2017),(December) Parliament abandons revision of Alcohol Act after 4 years of deliberations.,(6/Apr) Federal Council adopts draft version for a first partial revision of Alcohol Act and transfers it to Parliament.
Switzerland,"Leadership, awareness and commitment","Introduction of “KAP plus” conferences: In addition to the annual national conference on alcohol policy “KAP”, regional conferences on more specific topics (e.g. Youth, Alcohol and public space, or Early intervention) for the further education of cantonal civil servants/experts working on alcohol policy issues are introduced (2-3/year)",NA,NA,Start of project “Success factors of cantonal alcohol policy”: Tool to assess and develop cantonal alcohol policy measures (completed in  2015),Adoption of revised Food Stuff Act (including provisions on wine and beer) by Parliament. Entry into force: approx. 2017),Launch of new national campaign 2015-2017: “How much is too much?” including a new website.,(6/Apr) Federal Council adopts National Strategy on Noncommunicable Diseases 2017–2024
Switzerland,"Leadership, awareness and commitment","Introduction of “KAP plus” conferences: In addition to the annual national conference on alcohol policy “KAP”, regional conferences on more specific topics (e.g. Youth, Alcohol and public space, or Early intervention) for the further education of cantonal civil servants/experts working on alcohol policy issues are introduced (2-3/year)",NA,NA,Start of project “Success factors of cantonal alcohol policy”: Tool to assess and develop cantonal alcohol policy measures (completed in  2015),Adoption of revised Food Stuff Act (including provisions on wine and beer) by Parliament. Entry into force: approx. 2017),Launch of new national campaign 2015-2017: “How much is too much?” including a new website.,(6/Apr) Federal Council adopts draft version for a first partial revision of Alcohol Act and transfers it to Parliament.
Switzerland,"Leadership, awareness and commitment","Introduction of “KAP plus” conferences: In addition to the annual national conference on alcohol policy “KAP”, regional conferences on more specific topics (e.g. Youth, Alcohol and public space, or Early intervention) for the further education of cantonal civil servants/experts working on alcohol policy issues are introduced (2-3/year)",NA,NA,Start of project “Success factors of cantonal alcohol policy”: Tool to assess and develop cantonal alcohol policy measures (completed in  2015),Adoption of revised Food Stuff Act (including provisions on wine and beer) by Parliament. Entry into force: approx. 2017),(May) 3rd week of dialogue on alcohol.,(6/Apr) Federal Council adopts National Strategy on Noncommunicable Diseases 2017–2024
Switzerland,"Leadership, awareness and commitment","Introduction of “KAP plus” conferences: In addition to the annual national conference on alcohol policy “KAP”, regional conferences on more specific topics (e.g. Youth, Alcohol and public space, or Early intervention) for the further education of cantonal civil servants/experts working on alcohol policy issues are introduced (2-3/year)",NA,NA,Start of project “Success factors of cantonal alcohol policy”: Tool to assess and develop cantonal alcohol policy measures (completed in  2015),Adoption of revised Food Stuff Act (including provisions on wine and beer) by Parliament. Entry into force: approx. 2017),(May) 3rd week of dialogue on alcohol.,(6/Apr) Federal Council adopts draft version for a first partial revision of Alcohol Act and transfers it to Parliament.
Switzerland,"Leadership, awareness and commitment","Introduction of “KAP plus” conferences: In addition to the annual national conference on alcohol policy “KAP”, regional conferences on more specific topics (e.g. Youth, Alcohol and public space, or Early intervention) for the further education of cantonal civil servants/experts working on alcohol policy issues are introduced (2-3/year)",NA,NA,Start of project “Success factors of cantonal alcohol policy”: Tool to assess and develop cantonal alcohol policy measures (completed in  2015),Adoption of revised Food Stuff Act (including provisions on wine and beer) by Parliament. Entry into force: approx. 2017),(11/November) Federal Council adopts National Addictions Strategy,(6/Apr) Federal Council adopts National Strategy on Noncommunicable Diseases 2017–2024
Switzerland,"Leadership, awareness and commitment","Introduction of “KAP plus” conferences: In addition to the annual national conference on alcohol policy “KAP”, regional conferences on more specific topics (e.g. Youth, Alcohol and public space, or Early intervention) for the further education of cantonal civil servants/experts working on alcohol policy issues are introduced (2-3/year)",NA,NA,Start of project “Success factors of cantonal alcohol policy”: Tool to assess and develop cantonal alcohol policy measures (completed in  2015),Adoption of revised Food Stuff Act (including provisions on wine and beer) by Parliament. Entry into force: approx. 2017),(11/November) Federal Council adopts National Addictions Strategy,(6/Apr) Federal Council adopts draft version for a first partial revision of Alcohol Act and transfers it to Parliament.
Switzerland,"Leadership, awareness and commitment","Introduction of “KAP plus” conferences: In addition to the annual national conference on alcohol policy “KAP”, regional conferences on more specific topics (e.g. Youth, Alcohol and public space, or Early intervention) for the further education of cantonal civil servants/experts working on alcohol policy issues are introduced (2-3/year)",NA,NA,Start of project “Success factors of cantonal alcohol policy”: Tool to assess and develop cantonal alcohol policy measures (completed in  2015),Adoption of revised Food Stuff Act (including provisions on wine and beer) by Parliament. Entry into force: approx. 2017),"(May) Publication of revised/new guidelines by the Federal Commission on Alcohol-related Issues (FCAL), guidelines for lower-risk alcohol consumption.",(6/Apr) Federal Council adopts National Strategy on Noncommunicable Diseases 2017–2024
Switzerland,"Leadership, awareness and commitment","Introduction of “KAP plus” conferences: In addition to the annual national conference on alcohol policy “KAP”, regional conferences on more specific topics (e.g. Youth, Alcohol and public space, or Early intervention) for the further education of cantonal civil servants/experts working on alcohol policy issues are introduced (2-3/year)",NA,NA,Start of project “Success factors of cantonal alcohol policy”: Tool to assess and develop cantonal alcohol policy measures (completed in  2015),Adoption of revised Food Stuff Act (including provisions on wine and beer) by Parliament. Entry into force: approx. 2017),"(May) Publication of revised/new guidelines by the Federal Commission on Alcohol-related Issues (FCAL), guidelines for lower-risk alcohol consumption.",(6/Apr) Federal Council adopts draft version for a first partial revision of Alcohol Act and transfers it to Parliament.
Switzerland,"Leadership, awareness and commitment","Introduction of “KAP plus” conferences: In addition to the annual national conference on alcohol policy “KAP”, regional conferences on more specific topics (e.g. Youth, Alcohol and public space, or Early intervention) for the further education of cantonal civil servants/experts working on alcohol policy issues are introduced (2-3/year)",NA,NA,Start of project “Success factors of cantonal alcohol policy”: Tool to assess and develop cantonal alcohol policy measures (completed in  2015),Adoption of revised Food Stuff Act (including provisions on wine and beer) by Parliament. Entry into force: approx. 2017),"Federal Council publishes its position on a parliamentary initiative that wants to introduce a cost sharing provision (100%) for hospitalisations caused by alcohol intoxication: the Federal Council suggests rejecting the proposition, like the majority of people and organisations that took part in the public consultation on the subject.",(6/Apr) Federal Council adopts National Strategy on Noncommunicable Diseases 2017–2024
